,matricula,nombre,apellido,edad,genero,carrera,cuatrimestre,promedio,opinion
183,A00183,Sofía,López,24,M,Arquitectura,8,8.31,Regular
184,A00184,Sofía,Torres,29,M,Economía,4,8.87,Regular
185,A00185,Carlos,García,24,F,Ingeniería,2,8.27,Regular
186,A00186,Carlos,González,22,F,Economía,7,9.61,Excelente
187,A00187,José,Hernández,27,F,Arquitectura,6,8.05,Regular
188,A00188,María,López,20,M,Economía,4,8.06,Regular
189,A00189,María,Hernández,22,M,Medicina,6,6.51,Regular
190,A00190,Carlos,González,20,M,Ingeniería,2,6.55,Regular
191,A00191,Ana,Ramírez,19,M,Ingeniería,9,9.35,Excelente
192,A00192,Sofía,López,29,M,Medicina,4,7.49,Regular
193,A00193,Laura,García,21,F,Economía,8,6.56,Regular
194,A00194,Luis,Pérez,22,F,Derecho,1,6.82,Regular
195,A00195,Laura,Pérez,26,M,Psicología,6,9.98,Excelente
196,A00196,Sofía,Ramírez,26,F,Psicología,6,9.63,Excelente
197,A00197,Miguel,Pérez,27,M,Ingeniería,5,9.13,Excelente
198,A00198,José,Pérez,20,M,Derecho,2,8.65,Regular
199,A00199,Miguel,Ramírez,27,M,Psicología,5,7.31,Regular
200,A00200,María,Martínez,27,M,Arquitectura,1,6.46,Regular
201,A00201,José,Ramírez,26,M,Derecho,9,8.64,Regular
202,A00202,Sofía,Ramírez,24,M,Arquitectura,9,6.81,Regular
203,A00203,Laura,Hernández,29,M,Derecho,6,8.13,Regular
204,A00204,Sofía,García,28,F,Derecho,7,8.15,Regular
205,A00205,Sofía,Pérez,27,F,Economía,5,9.16,Excelente
206,A00206,José,Hernández,21,F,Arquitectura,8,7.88,Regular
207,A00207,Sofía,Torres,25,M,Medicina,5,8.33,Regular
208,A00208,José,Torres,19,F,Psicología,1,9.0,Regular
209,A00209,Luis,García,23,F,Derecho,9,7.18,Regular
210,A00210,Sofía,Martínez,29,M,Ingeniería,5,9.85,Excelente
211,A00211,Ana,Torres,21,M,Economía,2,9.03,Excelente
212,A00212,Sofía,García,29,F,Economía,4,7.8,Regular
213,A00213,Ana,González,28,M,Ingeniería,7,8.29,Regular
214,A00214,José,Ramírez,19,M,Ingeniería,1,9.68,Excelente
215,A00215,Carlos,Martínez,25,F,Psicología,8,7.48,Regular
216,A00216,María,Hernández,27,F,Arquitectura,6,6.51,Regular
217,A00217,Carlos,Torres,22,F,Psicología,2,8.98,Regular
218,A00218,Laura,Martínez,29,M,Economía,6,8.39,Regular
219,A00219,Laura,Pérez,22,M,Derecho,3,9.95,Excelente
220,A00220,Luis,Pérez,27,F,Ingeniería,7,9.05,Excelente
221,A00221,Ana,Martínez,25,M,Derecho,9,6.73,Regular
222,A00222,Miguel,López,26,M,Derecho,1,6.64,Regular
223,A00223,María,Pérez,23,F,Arquitectura,9,9.91,Excelente
224,A00224,María,Martínez,27,F,Derecho,6,6.48,Regular
225,A00225,Laura,Torres,26,F,Ingeniería,3,8.02,Regular
226,A00226,Ana,González,19,M,Medicina,6,9.95,Excelente
227,A00227,Miguel,García,21,M,Arquitectura,2,6.33,Regular
228,A00228,Miguel,Pérez,23,M,Medicina,6,7.24,Regular
229,A00229,Ana,López,25,F,Arquitectura,8,7.13,Regular
230,A00230,Luis,Martínez,18,M,Economía,1,8.3,Regular
231,A00231,Laura,López,25,M,Derecho,6,9.67,Excelente
232,A00232,Luis,Martínez,23,F,Derecho,7,6.13,Regular
233,A00233,Carlos,García,18,M,Economía,4,8.6,Regular
234,A00234,Miguel,Hernández,21,M,Psicología,1,8.89,Regular
235,A00235,Luis,García,26,F,Economía,9,7.33,Regular
236,A00236,Carlos,Pérez,19,F,Ingeniería,7,8.02,Regular
237,A00237,María,Hernández,24,F,Arquitectura,7,6.79,Regular
238,A00238,Carlos,Martínez,29,M,Ingeniería,7,6.62,Regular
239,A00239,José,Hernández,28,M,Economía,4,8.06,Regular
240,A00240,Laura,González,23,M,Psicología,2,6.52,Regular
241,A00241,Laura,Martínez,29,F,Medicina,5,6.74,Regular
242,A00242,Luis,Pérez,29,M,Arquitectura,2,9.67,Excelente
243,A00243,Ana,Hernández,21,M,Medicina,1,7.52,Regular
244,A00244,Miguel,Ramírez,25,M,Medicina,6,7.13,Regular
245,A00245,Sofía,García,21,F,Psicología,7,7.63,Regular
246,A00246,José,Pérez,24,M,Medicina,6,6.07,Regular
247,A00247,Ana,Pérez,21,F,Arquitectura,3,9.79,Excelente
248,A00248,Miguel,Hernández,25,F,Derecho,2,7.17,Regular
249,A00249,Sofía,Ramírez,18,F,Medicina,1,8.52,Regular
250,A00250,Ana,Pérez,25,F,Economía,1,9.82,Excelente
251,A00251,Sofía,García,28,M,Ingeniería,2,7.94,Regular
252,A00252,José,Pérez,18,M,Derecho,4,6.72,Regular
253,A00253,María,López,27,M,Psicología,8,7.08,Regular
254,A00254,María,Hernández,25,M,Economía,6,7.2,Regular
255,A00255,Sofía,López,24,F,Psicología,4,7.08,Regular
256,A00256,Ana,Hernández,19,F,Arquitectura,9,6.6,Regular
257,A00257,Sofía,López,23,F,Derecho,5,7.74,Regular
258,A00258,Sofía,González,22,F,Psicología,5,8.1,Regular
259,A00259,Carlos,Martínez,25,F,Derecho,7,9.64,Excelente
260,A00260,Luis,Ramírez,23,M,Ingeniería,8,9.95,Excelente
261,A00261,José,Hernández,19,M,Economía,8,8.18,Regular
262,A00262,Luis,Martínez,19,M,Psicología,4,6.95,Regular
263,A00263,María,Ramírez,28,F,Economía,9,7.29,Regular
264,A00264,Sofía,González,29,M,Medicina,5,6.9,Regular
265,A00265,Luis,González,23,F,Derecho,7,9.44,Excelente
266,A00266,Ana,López,23,F,Psicología,7,9.11,Excelente
267,A00267,Carlos,García,28,M,Ingeniería,3,6.45,Regular
268,A00268,Sofía,Pérez,26,F,Ingeniería,5,6.1,Regular
269,A00269,Laura,González,19,F,Arquitectura,7,6.24,Regular
270,A00270,José,López,19,M,Medicina,4,9.87,Excelente
271,A00271,Carlos,Martínez,29,F,Derecho,5,6.18,Regular
272,A00272,María,Hernández,21,M,Arquitectura,6,7.26,Regular
273,A00273,Miguel,García,24,F,Derecho,1,7.9,Regular
274,A00274,Laura,Pérez,25,M,Medicina,1,9.34,Excelente
275,A00275,Sofía,García,27,M,Ingeniería,3,7.43,Regular
276,A00276,Sofía,González,20,M,Ingeniería,6,6.83,Regular
277,A00277,Luis,Hernández,29,F,Ingeniería,2,7.28,Regular
278,A00278,Ana,Pérez,20,F,Psicología,1,6.69,Regular
279,A00279,Ana,García,19,M,Medicina,9,6.12,Regular
280,A00280,María,Martínez,29,F,Ingeniería,9,6.97,Regular
281,A00281,Sofía,Hernández,18,F,Ingeniería,9,6.47,Regular
282,A00282,Ana,García,27,M,Economía,4,8.51,Regular
283,A00283,Miguel,Ramírez,23,M,Psicología,3,9.53,Excelente
284,A00284,Carlos,Ramírez,20,M,Arquitectura,5,7.97,Regular
285,A00285,Sofía,González,20,F,Economía,5,8.27,Regular
286,A00286,José,Hernández,18,M,Derecho,4,8.93,Regular
287,A00287,Sofía,Torres,26,M,Derecho,4,8.8,Regular
288,A00288,Miguel,Martínez,20,F,Arquitectura,2,6.21,Regular
289,A00289,Ana,Martínez,26,F,Psicología,4,7.4,Regular
290,A00290,Laura,Torres,29,M,Arquitectura,8,7.19,Regular
291,A00291,Miguel,Torres,22,M,Derecho,7,6.73,Regular
292,A00292,José,González,19,F,Psicología,6,6.73,Regular
293,A00293,Ana,Hernández,20,F,Arquitectura,7,6.88,Regular
294,A00294,Ana,Hernández,28,M,Medicina,7,6.58,Regular
295,A00295,Carlos,García,27,F,Ingeniería,6,8.4,Regular
296,A00296,Miguel,Torres,22,F,Psicología,6,9.09,Excelente
297,A00297,José,Hernández,25,F,Ingeniería,6,7.12,Regular
298,A00298,Carlos,González,29,F,Medicina,4,8.21,Regular
299,A00299,Luis,González,24,F,Arquitectura,4,9.13,Excelente
300,A00300,María,Hernández,19,F,Economía,7,7.79,Regular
301,A00301,Sofía,Hernández,27,M,Psicología,8,6.99,Regular
302,A00302,María,Ramírez,28,F,Ingeniería,5,7.6,Regular
303,A00303,José,Martínez,19,F,Economía,1,6.64,Regular
304,A00304,Carlos,Ramírez,27,F,Psicología,5,6.09,Regular
305,A00305,José,Martínez,20,M,Economía,2,9.44,Excelente
306,A00306,José,Martínez,21,F,Ingeniería,6,9.63,Excelente
307,A00307,Ana,Ramírez,23,M,Ingeniería,9,9.93,Excelente
308,A00308,Sofía,Ramírez,21,F,Economía,8,8.76,Regular
309,A00309,José,Martínez,28,F,Psicología,9,6.35,Regular
310,A00310,Sofía,Hernández,19,M,Arquitectura,3,9.55,Excelente
311,A00311,María,Pérez,28,M,Economía,1,9.91,Excelente
312,A00312,Carlos,López,20,M,Psicología,8,9.4,Excelente
313,A00313,José,Pérez,18,F,Ingeniería,7,8.52,Regular
314,A00314,Laura,Martínez,24,M,Derecho,2,8.07,Regular
315,A00315,María,Hernández,26,M,Derecho,7,6.11,Regular
316,A00316,Laura,Torres,24,M,Arquitectura,5,8.88,Regular
317,A00317,María,Pérez,23,F,Psicología,7,8.76,Regular
318,A00318,Laura,González,19,M,Psicología,4,6.77,Regular
319,A00319,Miguel,Torres,27,F,Economía,6,7.14,Regular
320,A00320,María,Martínez,18,F,Derecho,5,8.7,Regular
321,A00321,Laura,García,19,F,Ingeniería,2,8.93,Regular
322,A00322,Ana,Torres,21,F,Derecho,4,6.08,Regular
323,A00323,Sofía,Torres,23,F,Psicología,1,8.27,Regular
324,A00324,Miguel,Martínez,23,M,Economía,6,7.79,Regular
325,A00325,Luis,Ramírez,24,M,Psicología,8,6.4,Regular
326,A00326,Laura,Pérez,28,F,Economía,7,7.85,Regular
327,A00327,Laura,López,28,F,Medicina,5,9.26,Excelente
328,A00328,Ana,López,21,F,Medicina,1,8.55,Regular
329,A00329,Ana,Torres,24,F,Arquitectura,6,9.46,Excelente
330,A00330,María,Pérez,27,F,Medicina,1,8.35,Regular
331,A00331,Sofía,Pérez,20,F,Medicina,1,8.78,Regular
332,A00332,Miguel,Hernández,20,M,Economía,3,9.76,Excelente
333,A00333,Laura,Hernández,22,F,Derecho,3,7.16,Regular
334,A00334,Ana,González,20,M,Psicología,6,7.36,Regular
335,A00335,Laura,García,29,F,Economía,5,9.95,Excelente
336,A00336,Laura,González,23,M,Derecho,2,6.7,Regular
337,A00337,José,Ramírez,20,F,Psicología,3,9.22,Excelente
338,A00338,Miguel,García,25,M,Ingeniería,3,7.65,Regular
339,A00339,Ana,García,22,F,Medicina,1,9.1,Excelente
340,A00340,Luis,Torres,24,F,Medicina,5,6.36,Regular
341,A00341,Miguel,Torres,19,M,Psicología,6,8.99,Regular
342,A00342,Ana,González,29,M,Psicología,1,9.2,Excelente
343,A00343,Ana,Pérez,21,F,Psicología,7,8.47,Regular
344,A00344,María,Pérez,18,F,Economía,1,9.08,Excelente
345,A00345,Luis,López,28,F,Arquitectura,3,6.87,Regular
346,A00346,Ana,Hernández,29,M,Ingeniería,5,6.45,Regular
347,A00347,Luis,González,19,F,Arquitectura,1,7.14,Regular
348,A00348,Miguel,Torres,26,M,Derecho,5,6.44,Regular
349,A00349,Miguel,González,22,M,Ingeniería,7,7.07,Regular
350,A00350,Laura,López,26,F,Medicina,1,6.25,Regular
351,A00351,Miguel,Hernández,24,M,Medicina,9,9.46,Excelente
352,A00352,Sofía,López,22,M,Derecho,4,9.38,Excelente
353,A00353,Miguel,González,19,F,Psicología,8,6.99,Regular
354,A00354,Laura,Ramírez,29,F,Derecho,4,7.59,Regular
355,A00355,Miguel,Torres,27,F,Medicina,7,6.62,Regular
356,A00356,Miguel,Hernández,25,F,Ingeniería,5,9.65,Excelente
357,A00357,José,García,23,F,Medicina,5,9.29,Excelente
358,A00358,María,González,28,M,Derecho,6,7.68,Regular
359,A00359,Sofía,Pérez,22,F,Psicología,2,9.14,Excelente
360,A00360,María,González,25,M,Economía,2,9.22,Excelente
361,A00361,José,Martínez,25,F,Arquitectura,1,8.55,Regular
362,A00362,Laura,Torres,21,M,Ingeniería,9,6.93,Regular
363,A00363,José,Ramírez,22,F,Medicina,8,7.6,Regular
364,A00364,Ana,Torres,23,F,Medicina,7,9.9,Excelente
365,A00365,Ana,Hernández,27,M,Economía,6,7.38,Regular
366,A00366,María,Martínez,18,F,Medicina,2,8.01,Regular
367,A00367,Sofía,Ramírez,29,F,Psicología,5,7.97,Regular
368,A00368,Luis,López,26,F,Economía,4,6.05,Regular
369,A00369,Carlos,Martínez,19,M,Arquitectura,4,8.76,Regular
370,A00370,Luis,Pérez,26,F,Arquitectura,4,6.82,Regular
371,A00371,Luis,Torres,23,F,Arquitectura,6,7.15,Regular
372,A00372,Luis,López,29,F,Medicina,2,8.23,Regular
373,A00373,Sofía,Hernández,27,M,Medicina,6,8.53,Regular
374,A00374,Carlos,Torres,24,M,Psicología,6,9.81,Excelente
375,A00375,Ana,Martínez,29,M,Ingeniería,3,6.4,Regular
376,A00376,María,Ramírez,19,M,Psicología,7,7.89,Regular
377,A00377,Sofía,López,21,F,Ingeniería,1,6.91,Regular
378,A00378,María,Torres,19,M,Derecho,6,7.1,Regular
379,A00379,Luis,Ramírez,28,F,Arquitectura,3,6.44,Regular
380,A00380,Miguel,González,28,F,Economía,9,7.78,Regular
381,A00381,María,Martínez,21,F,Derecho,5,9.21,Excelente
382,A00382,María,Martínez,18,F,Medicina,2,7.65,Regular
383,A00383,Ana,López,26,M,Economía,7,7.25,Regular
384,A00384,José,López,18,F,Ingeniería,2,8.45,Regular
385,A00385,José,Pérez,25,F,Ingeniería,2,8.91,Regular
386,A00386,Ana,Martínez,18,M,Derecho,8,8.18,Regular
387,A00387,José,Torres,21,F,Ingeniería,6,6.65,Regular
388,A00388,Ana,López,22,M,Arquitectura,1,6.17,Regular
389,A00389,Luis,Ramírez,22,F,Medicina,6,7.42,Regular
390,A00390,María,García,24,M,Medicina,2,6.49,Regular
391,A00391,Miguel,Martínez,23,M,Economía,4,7.4,Regular
392,A00392,José,López,29,M,Economía,3,7.35,Regular
393,A00393,Miguel,Pérez,22,F,Medicina,1,9.82,Excelente
394,A00394,José,González,21,F,Psicología,2,8.16,Regular
395,A00395,Carlos,Torres,29,F,Ingeniería,5,8.74,Regular
396,A00396,María,López,18,M,Economía,7,7.68,Regular
397,A00397,Luis,Hernández,28,M,Arquitectura,8,7.6,Regular
398,A00398,Ana,García,23,M,Psicología,4,9.88,Excelente
399,A00399,Luis,Pérez,27,F,Derecho,9,8.08,Regular
400,A00400,Luis,Pérez,20,F,Ingeniería,7,7.45,Regular
401,A00401,Carlos,López,22,F,Derecho,7,9.5,Excelente
402,A00402,Miguel,Hernández,24,F,Arquitectura,4,6.19,Regular
403,A00403,María,Martínez,20,M,Arquitectura,4,8.05,Regular
404,A00404,Luis,López,20,F,Medicina,3,6.24,Regular
405,A00405,Laura,López,24,M,Psicología,3,8.14,Regular
406,A00406,José,García,26,F,Arquitectura,9,9.88,Excelente
407,A00407,Miguel,García,18,F,Economía,6,8.99,Regular
408,A00408,María,Pérez,29,F,Psicología,7,6.53,Regular
409,A00409,Laura,Ramírez,20,F,Arquitectura,5,7.77,Regular
410,A00410,Miguel,García,24,M,Psicología,8,7.23,Regular
411,A00411,José,Ramírez,26,F,Medicina,2,9.75,Excelente
412,A00412,Carlos,Martínez,21,M,Economía,8,9.73,Excelente
413,A00413,Luis,Hernández,28,M,Economía,8,7.13,Regular
414,A00414,Miguel,García,29,F,Arquitectura,6,8.32,Regular
415,A00415,Sofía,González,20,M,Economía,6,8.23,Regular
